vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9337523,SEAWAYS STAR,Hong Kong,Tanker,CEUTA,SPAIN,08/22/2025,LAS PALMAS DE GRAN CANARIA,SPAIN,,CEUTA,SPAIN,
9338711,MORNING CATHERINE,Panama,Cargo,SAGUNTO,SPAIN,08/31/2025,SINGAPORE,SINGAPORE,,SAGUNTO,SPAIN,
9380518,SEAWAYS MADELEINE,Marshall Islands,Tanker,BARCELONA,SPAIN,08/09/2025,VALLETTA,MALTA,,BARCELONA,SPAIN,
9381639,B STAR,Malta,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,07/29/2025,BAR,MONTENEGRO,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9408097,SANDAL II,Saint Kitts and Nevis,Cargo,SEVILLA,SPAIN,08/09/2025,GIBRALTAR,GIBRALTAR,,SEVILLA,SPAIN,
9485863,FG ROTTERDAM,Panama,Tanker,ALGECIRAS,SPAIN,08/23/2025,HOUSTON,UNITED STATES (USA),,ALGECIRAS,SPAIN,
9487433,PAN SPIRIT,Panama,Cargo,SETUBAL,PORTUGAL,08/28/2025,SINGAPORE,SINGAPORE,,SETUBAL,PORTUGAL,
9502726,SF CHALISA,Thailand,Cargo,LISBOA,PORTUGAL,08/15/2025,LONDON,UNITED KINGDOM (UK),,LISBOA,PORTUGAL,
9527233,POPI S,Liberia,Cargo,BARCELONA,SPAIN,08/11/2025,,,,BARCELONA,SPAIN,
9545209,GAS AEGEAN,Liberia,Tanker,AVILES,SPAIN,08/16/2025,ARZEW,ALGERIA,,AVILES,SPAIN,
9584487,HELENA,Madeira,Cargo,LAS PALMAS DE GRAN CANARIA,SPAIN,08/13/2025,SAGUNTO,SPAIN,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9584865,KATHARINA,Madeira,Cargo,BARCELONA,SPAIN,08/13/2025,SAGUNTO,SPAIN,,BARCELONA,SPAIN,
9593323,MAPLE HARBOUR,South Korea,Cargo,ALGECIRAS,SPAIN,08/13/2025,YESILOVACIK,TURKEY,,ALGECIRAS,SPAIN,
9619464,MSC AGADIR,Hong Kong,Cargo,LAS PALMAS DE GRAN CANARIA,SPAIN,08/13/2025,RIO DE JANEIRO,BRAZIL,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9672507,LILA FROSTBURG,Liberia,Cargo,GIJON,SPAIN,08/08/2025,LAS PALMAS DE GRAN CANARIA,SPAIN,,GIJON,SPAIN,
9692325,SILVER ZOE,Marshall Islands,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,08/30/2025,ROTTERDAM,NETHERLANDS,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9782326,WOOYANG IVY,South Korea,Cargo,LEIXOES,PORTUGAL,09/01/2025,SINGAPORE,SINGAPORE,,LEIXOES,PORTUGAL,
9842528,SM HARMONY1,Marshall Islands,Cargo,CARBONERAS,SPAIN,09/08/2025,,,,CARBONERAS,SPAIN,
9853242,NAVIG8 GRATITUDE,Singapore,Tanker,HUELVA,SPAIN,08/13/2025,ALGECIRAS,SPAIN,,HUELVA,SPAIN,
9868314,HMM LE HAVRE,South Korea,Cargo,ALGECIRAS,SPAIN,08/16/2025,SINGAPORE,SINGAPORE,,ALGECIRAS,SPAIN,
9868326,HMM OSLO,South Korea,Cargo,ALGECIRAS,SPAIN,08/30/2025,ALGECIRAS,SPAIN,,ALGECIRAS,SPAIN,
9929106,NEW APEX,Panama,Tanker,CARTAGENA,SPAIN,08/23/2025,CARTAGENA,SPAIN,,CARTAGENA,SPAIN,
9941013,HLS BILBAO,Malta,Tanker,HUELVA,SPAIN,08/23/2025,SABINE,UNITED STATES (USA),,HUELVA,SPAIN,
9959929,SABRINA GLORY,Marshall Islands,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,08/13/2025,ROTTERDAM,NETHERLANDS,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9973901,NAVIG8 EXCEL,Singapore,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,08/20/2025,,,,LAS PALMAS DE GRAN CANARIA,SPAIN,
9973937,NAVIG8 EXECUTIVE,Singapore,Tanker,LAS PALMAS DE GRAN CANARIA,SPAIN,09/06/2025,ROTTERDAM,NETHERLANDS,,LAS PALMAS DE GRAN CANARIA,SPAIN,
