vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9490909,HL VISION,South Korea,Cargo,NEWCASTLE,AUSTRALIA,08/03/2025,KWANGYANG,KOREA REPUBLIC OF,,NEWCASTLE,AUSTRALIA,
9510527,PAN BONA,Panama,Cargo,GLADSTONE,AUSTRALIA,08/18/2025,POHANG,KOREA REPUBLIC OF,,GLADSTONE,AUSTRALIA,
9519145,MORNING CORNELIA,South Korea,Cargo,BRISBANE,AUSTRALIA,08/13/2025,SHANGHAI PT,CHINA,,BRISBANE,AUSTRALIA,
9539107,GLOBAL TALENT,South Korea,Cargo,PORT HEDLAND,AUSTRALIA,08/19/2025,SUAO,TAIWAN PROVINCE OF CHINA,,PORT HEDLAND,AUSTRALIA,
9539731,HL BALIKPAPAN,South Korea,Cargo,NEWCASTLE,AUSTRALIA,07/27/2025,,,,NEWCASTLE,AUSTRALIA,
9557874,E TRADER,Cyprus,Cargo,PORT HEDLAND,AUSTRALIA,08/14/2025,FANGCHENG PT,CHINA,,PORT HEDLAND,AUSTRALIA,
9574092,MORNING CARA,South Korea,Cargo,BRISBANE,AUSTRALIA,08/16/2025,,,,BRISBANE,AUSTRALIA,
9582441,PAN BICORN,Singapore,Cargo,HAY POINT,AUSTRALIA,08/12/2025,INCHEON,KOREA REPUBLIC OF,,HAY POINT,AUSTRALIA,
9586344,KORONI,Cyprus,Cargo,NEWCASTLE,AUSTRALIA,08/03/2025,PALEMBANG SUMATRA,INDONESIA,,NEWCASTLE,AUSTRALIA,
9597745,HL ESPERANCE,Panama,Cargo,NEWCASTLE,AUSTRALIA,08/19/2025,KWANGYANG,KOREA REPUBLIC OF,,NEWCASTLE,AUSTRALIA,
9604732,EMMANOUIL,Marshall Islands,Cargo,BURNIE,AUSTRALIA,08/11/2025,BRISBANE,AUSTRALIA,,BURNIE,AUSTRALIA,
9610561,DAEBO GLADSTONE,Panama,Cargo,GLADSTONE,AUSTRALIA,08/18/2025,GLADSTONE,AUSTRALIA,,GLADSTONE,AUSTRALIA,
9621390,PAN MUTIARA,South Korea,Cargo,HAY POINT,AUSTRALIA,08/15/2025,HADONG-GUN,KOREA REPUBLIC OF,,HAY POINT,AUSTRALIA,
9625827,PAN TOPAZ,Panama,Cargo,BRISBANE,AUSTRALIA,08/10/2025,,,,BRISBANE,AUSTRALIA,
9657014,DL OLIVE,Liberia,Cargo,USELESS LOOP,AUSTRALIA,08/12/2025,KWINANA,AUSTRALIA,,USELESS LOOP,AUSTRALIA,
9659775,DL DAHLIA,Panama,Cargo,HAY POINT,AUSTRALIA,08/15/2025,YEONGHEUNG,KOREA REPUBLIC OF,,HAY POINT,AUSTRALIA,
9683362,SILVER GWEN,Panama,Tanker,MARSDEN POINT,NEW ZEALAND,08/18/2025,YEOSU,KOREA REPUBLIC OF,,MARSDEN POINT,NEW ZEALAND,
9683374,SILVER LONDON,Panama,Tanker,SYDNEY,AUSTRALIA,08/26/2025,ULSAN,KOREA REPUBLIC OF,,SYDNEY,AUSTRALIA,
9693575,HL PIONEER,Liberia,Cargo,PORT HEDLAND,AUSTRALIA,08/13/2025,KWANGYANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9700158,STELLAR VENTURE,Panama,Cargo,PORT HEDLAND,AUSTRALIA,08/19/2025,KWANGYANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9700184,SOLAR DOLPHIN,Panama,Cargo,PORT HEDLAND,AUSTRALIA,08/13/2025,POHANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9703112,HL TAEAN,Panama,Cargo,NEWCASTLE,AUSTRALIA,08/13/2025,,,,NEWCASTLE,AUSTRALIA,
9708643,HL BORYEONG,Panama,Cargo,NEWCASTLE,AUSTRALIA,08/13/2025,NEWCASTLE,AUSTRALIA,,NEWCASTLE,AUSTRALIA,
9718973,HL LEADER,Marshall Islands,Cargo,NEWCASTLE,AUSTRALIA,08/19/2025,TAEAN,KOREA REPUBLIC OF,,NEWCASTLE,AUSTRALIA,
9723887,SM TIGER,Panama,Cargo,DECEPTION BAY,AUSTRALIA,08/20/2025,SETAGAYA-KU/TOKYO,JAPAN,,DECEPTION BAY,AUSTRALIA,
9723904,SM DRAGON,Panama,Cargo,PORT HEDLAND,AUSTRALIA,07/23/2025,KWANGYANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9725938,UNITY SPIRIT,Bahamas,Cargo,GLADSTONE,AUSTRALIA,08/17/2025,,,,GLADSTONE,AUSTRALIA,
9732254,ASP JEWELS,Panama,Tanker,GEELONG,AUSTRALIA,08/10/2025,SEPETIBA,BRAZIL,,GEELONG,AUSTRALIA,
9732395,POLAR BRIGHT,Marshall Islands,Tanker,BRISBANE,AUSTRALIA,08/18/2025,BOTANY BAY,AUSTRALIA,,BRISBANE,AUSTRALIA,
9748693,PAN COSMOS,South Korea,Cargo,PORT HEDLAND,AUSTRALIA,08/19/2025,KWANGYANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9757589,SOLAR LEGEND,Marshall Islands,Cargo,GLADSTONE,AUSTRALIA,07/30/2025,,,,GLADSTONE,AUSTRALIA,
9768928,PAN GRACE,South Korea,Cargo,TAURANGA,NEW ZEALAND,08/17/2025,TAURANGA,NEW ZEALAND,,TAURANGA,NEW ZEALAND,
9803352,ATLANTIC AFFINITY,Liberia,Cargo,NEWCASTLE,AUSTRALIA,08/15/2025,DONGJIANGKOU,CHINA,,NEWCASTLE,AUSTRALIA,
9853230,NAVIG8 GLADIATOR,Singapore,Tanker,BOTANY BAY,AUSTRALIA,08/15/2025,,,,BOTANY BAY,AUSTRALIA,
9883003,PAN NOVA,Panama,Cargo,GLADSTONE,AUSTRALIA,08/12/2025,ZHENJIANG PT,CHINA,,GLADSTONE,AUSTRALIA,
9889667,HL OCEANIC,Marshall Islands,Cargo,GLADSTONE,AUSTRALIA,07/28/2025,HAEONDAEJECHEOL,KOREA REPUBLIC OF,,GLADSTONE,AUSTRALIA,
9902914,SM BLUEBIRD,Panama,Tanker,BARROW ISLAND,AUSTRALIA,08/20/2025,YEOSU,KOREA REPUBLIC OF,,BARROW ISLAND,AUSTRALIA,
9906714,GRAND WINNER 5,Panama,Tanker,HOBART,AUSTRALIA,07/20/2025,ULSAN,KOREA REPUBLIC OF,,HOBART,AUSTRALIA,
9944869,HL NAMBU 1,Marshall Islands,Cargo,DAMPIER,AUSTRALIA,08/14/2025,PASIR GUDANG JOHOR,MALAYSIA,,DAMPIER,AUSTRALIA,
9952957,ANGELA GLORY,Marshall Islands,Tanker,NEWCASTLE,AUSTRALIA,08/11/2025,NEWCASTLE,AUSTRALIA,,NEWCASTLE,AUSTRALIA,
9972359,HL ALYSSA WARNER,Liberia,Tanker,BARROW ISLAND,AUSTRALIA,08/16/2025,PYEONGTAEK,KOREA REPUBLIC OF,,BARROW ISLAND,AUSTRALIA,
