vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
1051214,SEA ADMIRAL,Liberia,Tanker,TOWNSVILLE,AUSTRALIA,08/19/2025,ULSAN,KOREA REPUBLIC OF,,TOWNSVILLE,AUSTRALIA,
8204121,SANWA FONTAINE,South Korea,Cargo,RABAUL,PAPUA NEW GUINEA,08/20/2025,SINGAPORE,SINGAPORE,,RABAUL,PAPUA NEW GUINEA,
9004401,LAKE PEARL,South Korea,Cargo,RABAUL,PAPUA NEW GUINEA,07/28/2025,POHNPEI (EX PONAPE),MICRONESIA FEDERATED STATES OF,,RABAUL,PAPUA NEW GUINEA,
9087910,PHAROSTAR,South Korea,Cargo,RABAUL,PAPUA NEW GUINEA,08/08/2025,RABAUL,PAPUA NEW GUINEA,,RABAUL,PAPUA NEW GUINEA,
9181479,GRAND QUEST,Panama,Cargo,MELBOURNE,AUSTRALIA,08/13/2025,ADELAIDE,AUSTRALIA,,MELBOURNE,AUSTRALIA,
9186584,K FREESIA,Panama,Tanker,GLADSTONE,AUSTRALIA,08/21/2025,,,,GLADSTONE,AUSTRALIA,
9190640,SM DONGHAE 2,South Korea,Cargo,NEWCASTLE,AUSTRALIA,08/27/2025,NEWCASTLE,AUSTRALIA,,NEWCASTLE,AUSTRALIA,
9291391,THOR MAXIMUS,Singapore,Cargo,ONSLOW,AUSTRALIA,08/12/2025,SINGAPORE,SINGAPORE,,ONSLOW,AUSTRALIA,
9320362,ADONIS,Panama,Cargo,ABBOT POINT,AUSTRALIA,08/16/2025,TIANJIN PT,CHINA,,ABBOT POINT,AUSTRALIA,
9336086,MORNING CAROL,Bahamas,Cargo,FREMANTLE,AUSTRALIA,08/13/2025,DURBAN,SOUTH AFRICA,,FREMANTLE,AUSTRALIA,
9343314,GNS HARVEST,Panama,Cargo,NEWCASTLE,AUSTRALIA,08/10/2025,YEOSU,KOREA REPUBLIC OF,,NEWCASTLE,AUSTRALIA,
9344461,C UTOPIA,Marshall Islands,Cargo,NEWCASTLE,AUSTRALIA,08/09/2025,,,,NEWCASTLE,AUSTRALIA,
9354909,SEAWAYS OLIVE,Marshall Islands,Tanker,GEELONG,AUSTRALIA,08/17/2025,ONSAN/ULSAN,KOREA REPUBLIC OF,,GEELONG,AUSTRALIA,
9387932,GREAT MANTA,Singapore,Tanker,ADELAIDE,AUSTRALIA,08/14/2025,TANJONG BIN,MALAYSIA,,ADELAIDE,AUSTRALIA,
9454527,HL PORT HEDLAND,South Korea,Cargo,HAY POINT,AUSTRALIA,08/17/2025,KWANGYANG,KOREA REPUBLIC OF,,HAY POINT,AUSTRALIA,
9458377,HL SALDANHA BAY,Marshall Islands,Cargo,PORT HEDLAND,AUSTRALIA,08/08/2025,POHANG,KOREA REPUBLIC OF,,PORT HEDLAND,AUSTRALIA,
9458389,HL DALRYMPLE BAY,Panama,Cargo,GLADSTONE,AUSTRALIA,08/23/2025,HAEONDAEJECHEOL,KOREA REPUBLIC OF,,GLADSTONE,AUSTRALIA,
9459527,SM JAGUAR,South Korea,Cargo,GLADSTONE,AUSTRALIA,08/02/2025,KWANGYANG,KOREA REPUBLIC OF,,GLADSTONE,AUSTRALIA,
9467665,W TRADER,Cyprus,Cargo,HAY POINT,AUSTRALIA,08/09/2025,HAY POINT,AUSTRALIA,,HAY POINT,AUSTRALIA,
9475301,SM VISION,Panama,Cargo,NEWCASTLE,AUSTRALIA,08/11/2025,LANSHAN PT,CHINA,,NEWCASTLE,AUSTRALIA,
