vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9208136,VIGO,Vietnam,Tanker,SKAGEN,DENMARK,04/17/2025,,,,SKAGEN,DENMARK,
9238363,ONEGO MERCHANT,Madeira,Cargo,KRISTIANSAND,NORWAY,08/19/2025,PHILADELPHIA,UNITED STATES (USA),,KRISTIANSAND,NORWAY,
9326990,ELBIA,Antigua and Barbuda,Cargo,GOTEBORG,SWEDEN,08/12/2025,ROTTERDAM,NETHERLANDS,,GOTEBORG,SWEDEN,
9333242,FLORENCE,Panama,Tanker,MONGSTAD,NORWAY,08/15/2025,LONDON,UNITED KINGDOM (UK),,MONGSTAD,NORWAY,
9354351,ANINA,Madeira,Cargo,GOTEBORG,SWEDEN,08/14/2025,BREMERHAVEN,GERMANY,,GOTEBORG,SWEDEN,
9425904,MARO K,Panama,Cargo,SKAGEN,DENMARK,08/10/2025,SKAGEN,DENMARK,,SKAGEN,DENMARK,
9505326,HAV SAND,Faroe Islands,Cargo,HUSOY - KARMOY,NORWAY,08/14/2025,,,,HUSOY - KARMOY,NORWAY,
9543249,SIGMA PIONEER,Marshall Islands,Cargo,MALMO,SWEDEN,06/05/2025,,,,MALMO,SWEDEN,
9699361,PAN IMPERIAL,Panama,Cargo,OXELOSUND,SWEDEN,08/18/2025,,,,OXELOSUND,SWEDEN,
