vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9158563,PROGRESS C,Panama,Cargo,SINGAPORE,SINGAPORE,08/12/2025,TANJUNG PELEPAS,MALAYSIA,,SINGAPORE,SINGAPORE,
9158587,BRIDGE,Panama,Cargo,SINGAPORE,SINGAPORE,08/13/2025,KAMPONG SAOM,CAMBODIA,,SINGAPORE,SINGAPORE,
9162112,PARAMITA,South Korea,Tanker,SINGAPORE,SINGAPORE,08/12/2025,SINGAPORE,SINGAPORE,,SINGAPORE,SINGAPORE,
9182306,LONGEVO,Panama,Tanker,SINGAPORE,SINGAPORE,08/27/2025,SAO LUIS,BRAZIL,,SINGAPORE,SINGAPORE,
9193587,JEIL CRYSTAL,South Korea,Tanker,SINGAPORE,SINGAPORE,08/14/2025,ULSAN,KOREA REPUBLIC OF,,SINGAPORE,SINGAPORE,
9197349,BANGKOK,Panama,Cargo,SINGAPORE,SINGAPORE,08/12/2025,SEMARANG,INDONESIA,,SINGAPORE,SINGAPORE,
9235270,LADY GAS,South Korea,Tanker,SINGAPORE,SINGAPORE,08/10/2025,SINGAPORE,SINGAPORE,,SINGAPORE,SINGAPORE,
9242546,OMARI,Panama,Cargo,SINGAPORE,SINGAPORE,08/15/2025,SINGAPORE,SINGAPORE,,SINGAPORE,SINGAPORE,
9245782,FIRENZE K,Panama,Tanker,SINGAPORE,SINGAPORE,07/29/2025,SINGAPORE,SINGAPORE,,SINGAPORE,SINGAPORE,
9252412,YU XIAO 8,Panama,Cargo,SINGAPORE,SINGAPORE,08/12/2025,SINGAPORE,SINGAPORE,,SINGAPORE,SINGAPORE,
9254927,GT FREEDOM,Panama,Tanker,SINGAPORE,SINGAPORE,08/11/2025,,,,SINGAPORE,SINGAPORE,
9260639,LILA RIO,Liberia,Cargo,SINGAPORE,SINGAPORE,09/15/2025,,,,SINGAPORE,SINGAPORE,
9264790,ROCKY,Liberia,Cargo,SINGAPORE,SINGAPORE,09/03/2025,BOLAMA,GUINEA-BISSAU,,SINGAPORE,SINGAPORE,
