vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
8807430,SEIN QUEEN,South Korea,Cargo,GASTON,UNITED STATES (USA),08/11/2025,RABAUL,PAPUA NEW GUINEA,,GASTON,UNITED STATES (USA),
9070462,KASIAN BEAUTY,South Korea,Cargo,PORT HUENEME,UNITED STATES (USA),08/16/2025,KWANGYANG,KOREA REPUBLIC OF,,PORT HUENEME,UNITED STATES (USA),
9122930,GLOVIS CORONA,South Korea,Cargo,PHILADELPHIA,UNITED STATES (USA),08/12/2025,BALTIMORE,UNITED STATES (USA),,PHILADELPHIA,UNITED STATES (USA),
9158616,ASIAN CAPTAIN,South Korea,Cargo,BALTIMORE,UNITED STATES (USA),08/14/2025,BRUNSWICK,UNITED STATES (USA),,BALTIMORE,UNITED STATES (USA),
9172430,ORIENTAL NAVIGATOR,Panama,Cargo,BOCA GRANDE,UNITED STATES (USA),07/17/2025,,,,BOCA GRANDE,UNITED STATES (USA),
9227601,NO2 POHAH,Panama,Cargo,DUTCH HARBOR,UNITED STATES (USA),07/26/2025,DUTCH HARBOR,UNITED STATES (USA),,DUTCH HARBOR,UNITED STATES (USA),
9279331,GRAND AURORA,Panama,Cargo,LOS ANGELES,UNITED STATES (USA),08/21/2025,YOKOHAMA,JAPAN,,LOS ANGELES,UNITED STATES (USA),
9285615,MORNING CALM,Bahamas,Cargo,TACOMA,UNITED STATES (USA),08/15/2025,PORT HUENEME,UNITED STATES (USA),,TACOMA,UNITED STATES (USA),
9312755,SM LONG BEACH,South Korea,Cargo,LONG BEACH,UNITED STATES (USA),08/24/2025,BUSAN,KOREA REPUBLIC OF,,LONG BEACH,UNITED STATES (USA),
9312779,SM SHANGHAI,South Korea,Cargo,LONG BEACH,UNITED STATES (USA),08/15/2025,BUSAN,KOREA REPUBLIC OF,,LONG BEACH,UNITED STATES (USA),
9312949,SM YANTIAN,South Korea,Cargo,LONG BEACH,UNITED STATES (USA),08/18/2025,BUSAN,KOREA REPUBLIC OF,,LONG BEACH,UNITED STATES (USA),
9316232,CHEMTRANS NOVA,Antigua and Barbuda,Tanker,HOUSTON,UNITED STATES (USA),08/13/2025,HOUSTON,UNITED STATES (USA),,HOUSTON,UNITED STATES (USA),
9318515,MORNING MENAD,South Korea,Cargo,NEW YORK,UNITED STATES (USA),08/10/2025,ALTAMIRA,MEXICO,,NEW YORK,UNITED STATES (USA),
9329461,MORNING CELLO,Panama,Cargo,PHILADELPHIA,UNITED STATES (USA),08/13/2025,CHARLESTON,UNITED STATES (USA),,PHILADELPHIA,UNITED STATES (USA),
