vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
1016290,SAEHAN OLIVIA,Panama,Tanker,YANTAI LAISHAN INTERNATIONAL APT,CHINA,08/21/2025,SINGAPORE,SINGAPORE,,YANTAI LAISHAN INTERNATIONAL APT,CHINA,
1016501,BS HAIPHONG,South Korea,Tanker,NINGBO LISHE INTERNATIONAL APT,CHINA,08/10/2025,INCHEON,KOREA REPUBLIC OF,,NINGBO LISHE INTERNATIONAL APT,CHINA,
1028774,PEGASUS,South Korea,Cargo,TAICANG PT,CHINA,08/13/2025,TIANJIN PT,CHINA,,TAICANG PT,CHINA,
1034400,SKY PEACE,Panama,Cargo,NINGBO LISHE INTERNATIONAL APT,CHINA,08/14/2025,VUNG TAU,VIETNAM,,NINGBO LISHE INTERNATIONAL APT,CHINA,
1061312,DS SOPHIA,Panama,Tanker,TIANJIN PT,CHINA,08/19/2025,BAHUDOPI,INDONESIA,,TIANJIN PT,CHINA,
1062366,ZENITH ACE,Panama,Cargo,SHANGHAI PT,CHINA,08/12/2025,TAICANG PT,CHINA,,SHANGHAI PT,CHINA,
8808161,SEISHIN,South Korea,Cargo,SHIDAO PT,CHINA,08/14/2025,SHIDAO PT,CHINA,,SHIDAO PT,CHINA,
8934051,JIAHONG,Panama,Cargo,SHANGHAI PT,CHINA,08/17/2025,HONG KONG,HONGKONG,,SHANGHAI PT,CHINA,
9051789,SEIN FRONTIER,South Korea,Cargo,LONGYAN PT,CHINA,08/10/2025,BUSAN,KOREA REPUBLIC OF,,LONGYAN PT,CHINA,
9110810,XIN YU JIN XIANG,Panama,Passenger,QINHUANGDAO PT,CHINA,08/13/2025,INCHEON,KOREA REPUBLIC OF,,QINHUANGDAO PT,CHINA,
9158862,SWAN LAKE,Hong Kong,Cargo,XIAMEN,CHINA,08/12/2025,TAICHUNG,TAIWAN PROVINCE OF CHINA,,XIAMEN,CHINA,
9159335,HANSUNG INCHEON,South Korea,Cargo,WEIHAI,CHINA,08/13/2025,WEIHAI,CHINA,,WEIHAI,CHINA,
9161467,DE YUAN,Panama,Cargo,SHANWEI PT,CHINA,08/13/2025,SHANWEI PT,CHINA,,SHANWEI PT,CHINA,
9161857,VENUS,Hong Kong,Cargo,ANCHORAGE,CHINA,08/13/2025,TAICHUNG,TAIWAN PROVINCE OF CHINA,,ANCHORAGE,CHINA,
9167411,AMBER,Vietnam,Tanker,ZHUHAI PT,CHINA,08/10/2025,ZHUHAI PT,CHINA,,ZHUHAI PT,CHINA,
9169316,GRAND CHOICE,Panama,Cargo,NINGBO PT,CHINA,08/13/2025,YANTAI LAISHAN INTERNATIONAL APT,CHINA,,NINGBO PT,CHINA,
9187485,HE YUAN 1,Panama,Cargo,RIZHAO PT,CHINA,08/13/2025,MANILA,PHILIPPINES,,RIZHAO PT,CHINA,
9197076,BRIGHT ELEGANCE,Panama,Cargo,SHANGHAI PT,CHINA,08/25/2025,ZHENJIANG PT,CHINA,,SHANGHAI PT,CHINA,
