vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9403372,CATALINA,Antigua and Barbuda,Cargo,TRAPANI,ITALY,08/12/2025,SOUSSE,TUNISIA,,TRAPANI,ITALY,
9470313,KHARIS TRINITY,South Korea,Cargo,AUGUSTA,ITALY,08/11/2025,GEELONG,AUSTRALIA,,AUGUSTA,ITALY,
9583689,HANJIN PIONEER,South Korea,Cargo,MARINA DI CARRARA,ITALY,04/15/2025,,,,MARINA DI CARRARA,ITALY,
9589396,SM GUARDIAN,South Korea,Cargo,SAN BENEDETTO DEL TRONTO,ITALY,08/31/2025,RIZHAO PT,CHINA,,SAN BENEDETTO DEL TRONTO,ITALY,
9593244,HANJIN LEADER,South Korea,Cargo,MARINA DI CARRARA,ITALY,04/25/2025,,,,MARINA DI CARRARA,ITALY,
9613290,BRASSIANA,Marshall Islands,Cargo,LIVORNO,ITALY,08/15/2025,TARRAGONA,SPAIN,,LIVORNO,ITALY,
9621417,ALTZEK,Liberia,Cargo,SAN BENEDETTO DEL TRONTO,ITALY,06/10/2025,,,,SAN BENEDETTO DEL TRONTO,ITALY,
9962380,DONGBANG GIANT NO9,South Korea,Cargo,MARINA DI CARRARA,ITALY,05/28/2025,,,,MARINA DI CARRARA,ITALY,
