vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9134971,SCHUMI 5,Thailand,Tanker,DHAMRA PORT,INDIA,08/13/2025,MONGLA,BANGLADESH,,DHAMRA PORT,INDIA,
9149859,ADVANCE,Panama,Cargo,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA,08/13/2025,JEBEL ALI,UNITED ARAB EMIRATES (UAE),,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA,
9188829,MODERN LINK,Panama,Cargo,ENNORE,INDIA,09/09/2025,SINGAPORE,SINGAPORE,,ENNORE,INDIA,
9200598,MANDALA,South Korea,Tanker,PORT JAWAHARLAL NEHRU,INDIA,08/20/2025,SINGAPORE,SINGAPORE,,PORT JAWAHARLAL NEHRU,INDIA,
9200603,GEUM GANG,South Korea,Tanker,MUMBAI (EX BOMBAY),INDIA,08/15/2025,MUMBAI (EX BOMBAY),INDIA,,MUMBAI (EX BOMBAY),INDIA,
9221669,MT MARIGOLD,South Korea,Tanker,PARADIP GARH,INDIA,08/20/2025,BEIHAI PT,CHINA,,PARADIP GARH,INDIA,
9237395,NAVIS,Saint Kitts and Nevis,Cargo,KANDLA,INDIA,07/18/2025,SOHAR,OMAN,,KANDLA,INDIA,
9237395,P1 VIET LN C3999,Vietnam,Not Available,KANDLA,INDIA,07/18/2025,SON DUONG PORT,VIETNAM,,KANDLA,INDIA,
9278985,SOL PRIME,Panama,Cargo,CHENNAI (EX MADRAS),INDIA,08/12/2025,PORT KLANG (PELABUHAN KLANG),MALAYSIA,,CHENNAI (EX MADRAS),INDIA,
9279939,CNC RICH,South Korea,Tanker,MUMBAI (EX BOMBAY),INDIA,08/21/2025,SINGAPORE,SINGAPORE,,MUMBAI (EX BOMBAY),INDIA,
9297541,DOVE,Panama,Tanker,SIKA,INDIA,08/14/2025,SIKA,INDIA,,SIKA,INDIA,
9298351,DOLPHIN 08,Panama,Tanker,HAZIRA,INDIA,08/14/2025,,,,HAZIRA,INDIA,
9303273,DAESAN CHEMI,South Korea,Other,KAKINADA,INDIA,08/13/2025,SINGAPORE,SINGAPORE,,KAKINADA,INDIA,
9305465,KOTA MANZANILLO,Liberia,Cargo,MUNDRA,INDIA,08/12/2025,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA,,MUNDRA,INDIA,
9307736,NV AQUAMARINE,Vietnam,Tanker,MUMBAI (EX BOMBAY),INDIA,08/10/2025,NEW MANGALORE,INDIA,,MUMBAI (EX BOMBAY),INDIA,
9324215,G SILVER,South Korea,Tanker,NEW MANGALORE,INDIA,08/15/2025,,,,NEW MANGALORE,INDIA,
9340439,NO2 OCEAN PIONEER,Marshall Islands,Tanker,KANDLA,INDIA,07/29/2025,JAWAHARLAL NEHRU (NHAVA SHEVA),INDIA,,KANDLA,INDIA,
9340441,EASTERLYBEECHGALAXY,Marshall Islands,Tanker,TUTICORIN,INDIA,08/13/2025,SINGAPORE,SINGAPORE,,TUTICORIN,INDIA,
9346304,HYUNDAI BRAVE,Marshall Islands,Cargo,KATTUPALLI,INDIA,08/16/2025,SINGAPORE,SINGAPORE,,KATTUPALLI,INDIA,
