vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9143398,AST MALTA,Liberia,Cargo,PIRAEUS,GREECE,08/05/2025,LARNACA,CYPRUS,,PIRAEUS,GREECE,
9270737,KRITI,Greece,Tanker,AGIO THEODOROI,GREECE,08/07/2025,PIRAEUS,GREECE,,AGIO THEODOROI,GREECE,
9274082,TM HAI HA 568,Vietnam,Tanker,VASILIKOS,CYPRUS,07/30/2025,ABIDJAN,COTE D''IVOIRE,,VASILIKOS,CYPRUS,
9339806,GRAND HERO,Panama,Cargo,VALLETTA,MALTA,09/08/2025,ALGECIRAS,SPAIN,,VALLETTA,MALTA,
9380855,RISE 1905,Togo,Cargo,KALAMATA,GREECE,08/15/2025,BIZERTE,TUNISIA,,KALAMATA,GREECE,
9455600,BENIGANE,Palau,Cargo,VASILIKOS,CYPRUS,07/09/2025,ASHDOD,ISRAEL,,VASILIKOS,CYPRUS,
9457749,SONGA POLARIS,Malta,Tanker,VALLETTA,MALTA,08/11/2025,MALTA FREEPORT DISTRIPARK,MALTA,,VALLETTA,MALTA,
9464560,EASTERLY SYMPHONY,Marshall Islands,Tanker,ZYYI,CYPRUS,08/13/2025,,,,ZYYI,CYPRUS,
9586758,MEGA CARAVAN 2,South Korea,Other,VALLETTA,MALTA,08/13/2025,PORT LOUIS,MAURITIUS,,VALLETTA,MALTA,
9804461,FREUD,Marshall Islands,Tanker,VATIKA BAY,GREECE,08/11/2025,PIRAEUS,GREECE,,VATIKA BAY,GREECE,
