vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9380532,SEA LA DONNA,Liberia,Tanker,UST''-LUGA,RUSSIAN FEDERATION (RUSSIA),08/13/2025,,,,UST''-LUGA,RUSSIAN FEDERATION (RUSSIA),
9382695,ENY,South Korea,Cargo,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),08/08/2025,TAIZHOU,CHINA,,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),
9397107,SENDAI TRADER,South Korea,Not Available,KAVKAZ,RUSSIAN FEDERATION (RUSSIA),08/14/2025,BUSAN,KOREA REPUBLIC OF,,KAVKAZ,RUSSIAN FEDERATION (RUSSIA),
9439400,MYLASA,Barbados,Tanker,GULLO,FINLAND,08/09/2025,,,,GULLO,FINLAND,
9444455,SONGA PEARL,Malta,Tanker,HAMBURG,GERMANY,08/10/2025,GOTEBORG,SWEDEN,,HAMBURG,GERMANY,
9444479,SONGA RUBY,Malta,Tanker,SWINOUJSCIE,POLAND,08/12/2025,ROTTERDAM,NETHERLANDS,,SWINOUJSCIE,POLAND,
9457024,SONGA COSMOS,Malta,Tanker,GDYNIA,POLAND,07/30/2025,,,,GDYNIA,POLAND,
9471616,SUN SHINE,South Korea,Cargo,ROSTOCK,GERMANY,08/22/2025,,,,ROSTOCK,GERMANY,
9471991,TRAVETAL,Latvia,Cargo,VAASA (VASA),FINLAND,08/12/2025,HAMBURG,GERMANY,,VAASA (VASA),FINLAND,
9486166,MT AWH ALMA,Liberia,Tanker,VENTSPILS,LATVIA,08/23/2025,PORTO FOXI (SARROCH),ITALY,,VENTSPILS,LATVIA,
9512252,YORK 27,Belize,Cargo,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),08/12/2025,,,,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),
9540405,JI GUI,Panama,Cargo,KHOLMSK,RUSSIAN FEDERATION (RUSSIA),08/12/2025,KINUURA,JAPAN,,KHOLMSK,RUSSIAN FEDERATION (RUSSIA),
9569798,SOLAR FRONTIER,Hong Kong,Cargo,POSYET,RUSSIAN FEDERATION (RUSSIA),08/19/2025,,,,POSYET,RUSSIAN FEDERATION (RUSSIA),
9621405,KUBRAT,Liberia,Cargo,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),08/11/2025,ZONGULDAK,TURKEY,,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),
9674165,GLOVIS SPIRIT,South Korea,Cargo,BREMERHAVEN,GERMANY,08/10/2025,ROTTERDAM,NETHERLANDS,,BREMERHAVEN,GERMANY,
9749556,BALLA,Liberia,Tanker,TALLINN,ESTONIA,08/15/2025,ROTTERDAM,NETHERLANDS,,TALLINN,ESTONIA,
9810551,PRISM BRILLIANCE,Panama,Tanker,WILHELMSHAVEN,GERMANY,08/27/2025,FREEPORT,UNITED STATES (USA),,WILHELMSHAVEN,GERMANY,
9833668,NAVIG8 GALLANTRY,Singapore,Tanker,RIGA,LATVIA,08/13/2025,VENTSPILS,LATVIA,,RIGA,LATVIA,
9870018,BOLDWIND,Germany,Cargo,SZCZECIN,POLAND,08/14/2025,NAKSKOV,DENMARK,,SZCZECIN,POLAND,
9893072,PACIFIC PEARL,Marshall Islands,Tanker,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),08/15/2025,CANAKKALE,TURKEY,,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),
9915985,QINGDAO TRADER,South Korea,Cargo,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),08/12/2025,BUSAN,KOREA REPUBLIC OF,,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),
9947732,SONGA PANTHER,Liberia,Cargo,KLAIPEDA,LITHUANIA,08/14/2025,KLAIPEDA,LITHUANIA,,KLAIPEDA,LITHUANIA,
