vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
9066710,EASTERN DREAM,Panama,Passenger,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),08/12/2025,DONGHAE,KOREA REPUBLIC OF,,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),
9112246,GNL GRACE,Panama,Passenger,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),08/13/2025,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),,VLADIVOSTOK,RUSSIAN FEDERATION (RUSSIA),
9176632,ASIAN EMPEROR,South Korea,Cargo,BREMERHAVEN,GERMANY,08/11/2025,PHILADELPHIA,UNITED STATES (USA),,BREMERHAVEN,GERMANY,
9215749,GREAT WENXIANG,Liberia,Cargo,VANINO,RUSSIAN FEDERATION (RUSSIA),07/20/2025,,,,VANINO,RUSSIAN FEDERATION (RUSSIA),
9233583,HONG RUN 6,Liberia,Cargo,SHAKHTERSK,RUSSIAN FEDERATION (RUSSIA),08/05/2025,HAIMEN,CHINA,,SHAKHTERSK,RUSSIAN FEDERATION (RUSSIA),
9247194,KUNPENG,Panama,Tanker,KORSAKOV,RUSSIAN FEDERATION (RUSSIA),05/09/2025,,,,KORSAKOV,RUSSIAN FEDERATION (RUSSIA),
9258337,ROSE MANN,South Korea,Cargo,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),08/10/2025,ULSAN,KOREA REPUBLIC OF,,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),
9260823,FIESTA,Sierra Leone,Tanker,GULLO,FINLAND,08/18/2025,LOME,TOGO,,GULLO,FINLAND,
9276341,YASAR,Panama,Cargo,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),08/13/2025,AMBARLI,TURKEY,,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),
9277747,ELISE,Palau,Tanker,MURMANSK,RUSSIAN FEDERATION (RUSSIA),08/04/2025,MURMANSK,RUSSIAN FEDERATION (RUSSIA),,MURMANSK,RUSSIAN FEDERATION (RUSSIA),
9278545,ANDROS BEAUTY,Liberia,Cargo,MURMANSK,RUSSIAN FEDERATION (RUSSIA),08/01/2025,MALTA FREEPORT DISTRIPARK,MALTA,,MURMANSK,RUSSIAN FEDERATION (RUSSIA),
9304629,CHENG HE,Sao Tome and Principe,Tanker,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),08/11/2025,ISTANBUL NEW AIRPORT,TURKEY,,NOVOROSSIYSK,RUSSIAN FEDERATION (RUSSIA),
9310678,WOORI SUN,South Korea,Cargo,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),08/11/2025,HONG KONG,HONGKONG,,VOSTOCHNYY PORT,RUSSIAN FEDERATION (RUSSIA),
9323508,HMM COLOMBO,South Korea,Cargo,HAMBURG,GERMANY,08/11/2025,SOUTHAMPTON,UNITED KINGDOM (UK),,HAMBURG,GERMANY,
9332315,MISHELL,Panama,Tanker,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),09/03/2025,CALLAO,PERU,,NAKHODKA,RUSSIAN FEDERATION (RUSSIA),
9333785,SEADAR,Hong Kong,Tanker,KOZMINO PORT,RUSSIAN FEDERATION (RUSSIA),08/07/2025,BUSAN,KOREA REPUBLIC OF,,KOZMINO PORT,RUSSIAN FEDERATION (RUSSIA),
9345881,LOYAL,Vietnam,Tanker,SZCZECIN,POLAND,08/13/2025,ROTTERDAM,NETHERLANDS,,SZCZECIN,POLAND,
