vessel_imo,vessel_name,vessel_flag,vessel_type,eta_place_name,eta_country_name,eta_date,last_reported_port,last_reported_country,last_reported_port_sail_date,destination_port,destination_country,vessel_technical_manager
1056020,HANSUNG WEIHAI,Panama,Other,MOJI/KITAKYUSHU,JAPAN,08/12/2025,BUSAN NEW PORT,KOREA REPUBLIC OF,,MOJI/KITAKYUSHU,JAPAN,
9033842,BR FAIRY,Panama,Cargo,TOKYO,JAPAN,08/17/2025,INCHEON,KOREA REPUBLIC OF,,TOKYO,JAPAN,
9124108,FIRST  AI,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/11/2025,FUKUYAMA HIROSHIMA,JAPAN,,FUKUYAMA HIROSHIMA,JAPAN,
9136606,OCEAN KARIS,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/11/2025,,,,FUKUYAMA HIROSHIMA,JAPAN,
9152363,GRAND MUSE,Panama,Cargo,IWAKUNI,JAPAN,08/07/2025,IWAKUNI,JAPAN,,IWAKUNI,JAPAN,
9158604,GLOVIS CHORUS,South Korea,Cargo,YOKOHAMA,JAPAN,08/22/2025,PORTLAND,UNITED STATES (USA),,YOKOHAMA,JAPAN,
9162435,PADIAN 3,Panama,Cargo,OITA,JAPAN,08/13/2025,SHIBUSHI,JAPAN,,OITA,JAPAN,
9164603,POS YOKOHAMA,South Korea,Cargo,TOKYO,JAPAN,08/13/2025,TOKYO,JAPAN,,TOKYO,JAPAN,
9209908,SINOKOR NIIGATA,South Korea,Cargo,YATSUSHIRO,JAPAN,08/11/2025,SHIBUSHI,JAPAN,,YATSUSHIRO,JAPAN,
9241700,SEONG HEE,South Korea,Passenger,KANMON,JAPAN,08/13/2025,BUSAN,KOREA REPUBLIC OF,,KANMON,JAPAN,
9251145,DONGJIN FORTUNE,South Korea,Cargo,KOBE,JAPAN,08/13/2025,HIROSHIMA,JAPAN,,KOBE,JAPAN,
9253997,109 HYODONGCHEMI,South Korea,Tanker,KANMON,JAPAN,08/12/2025,KANMON,JAPAN,,KANMON,JAPAN,
9272759,GOLDEN AI HANA,South Korea,Tanker,NANKO,JAPAN,08/13/2025,NANKO,JAPAN,,NANKO,JAPAN,
9281358,TY INCHEON,South Korea,Cargo,SHIMIZU,JAPAN,08/13/2025,SHIMIZU,JAPAN,,SHIMIZU,JAPAN,
9294769,DK IMAN,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/14/2025,BUSAN,KOREA REPUBLIC OF,,FUKUYAMA HIROSHIMA,JAPAN,
9297280,WOO JONG,South Korea,Tanker,OITA,JAPAN,08/15/2025,TAICHUNG,TAIWAN PROVINCE OF CHINA,,OITA,JAPAN,
9297307,111 HYODONG CHEMI,South Korea,Tanker,MUTSURE,JAPAN,08/17/2025,SON DUONG PORT,VIETNAM,,MUTSURE,JAPAN,
9303156,DREAM ANGEL,Panama,Cargo,NAGOYA AICHI,JAPAN,08/12/2025,NAGOYA AICHI,JAPAN,,NAGOYA AICHI,JAPAN,
9303170,GRAND DUKE,Panama,Cargo,KOBE,JAPAN,08/15/2025,HIROSHIMA,JAPAN,,KOBE,JAPAN,
9313230,SUN VESTA,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/13/2025,MIKAWA,JAPAN,,FUKUYAMA HIROSHIMA,JAPAN,
9329590,VOSTOCHNY VOYAGER,South Korea,Cargo,TSURUGA,JAPAN,08/12/2025,,,,TSURUGA,JAPAN,
9330707,HYUNDAI FORWARD,Marshall Islands,Cargo,TOKYO,JAPAN,08/15/2025,VANCOUVER,CANADA,,TOKYO,JAPAN,
9334246,DREAM JASMINE,Panama,Cargo,OSAKA,JAPAN,08/17/2025,OSAKI MIYAGI,JAPAN,,OSAKA,JAPAN,
9337860,GALAXY SAMBU,South Korea,Tanker,YOKKAICHI,JAPAN,08/13/2025,ULSAN,KOREA REPUBLIC OF,,YOKKAICHI,JAPAN,
9352286,S GLORIA,South Korea,Cargo,OSAKA,JAPAN,08/19/2025,POHANG,KOREA REPUBLIC OF,,OSAKA,JAPAN,
9352597,LILA ACE,Liberia,Tanker,TOKUYAMAKUDAMATSU,JAPAN,09/07/2025,CRISTOBAL,PANAMA,,TOKUYAMAKUDAMATSU,JAPAN,
9355252,GRAND VEGA,Panama,Cargo,YOKOHAMA,JAPAN,09/03/2025,SAN ANTONIO,CHILE,,YOKOHAMA,JAPAN,
9364837,TUOJIANG,Liberia,Cargo,CHIBA,JAPAN,08/07/2025,FUNABASHI,JAPAN,,CHIBA,JAPAN,
9383546,HECAN,South Korea,Cargo,OSAKA,JAPAN,08/15/2025,SHANGHAI PT,CHINA,,OSAKA,JAPAN,
9390202,SJ  HONOR,South Korea,Cargo,FUNABASHI,JAPAN,08/06/2025,CHIBA,JAPAN,,FUNABASHI,JAPAN,
9397169,NURI HANA,South Korea,Tanker,KOBE,JAPAN,08/14/2025,LAIZHOU PT,CHINA,,KOBE,JAPAN,
9397250,HS GLORY,South Korea,Cargo,TSURUGA,JAPAN,08/12/2025,TSURUGA,JAPAN,,TSURUGA,JAPAN,
9403889,SJ ANGEL,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/10/2025,FUKUYAMA HIROSHIMA,JAPAN,,FUKUYAMA HIROSHIMA,JAPAN,
9404912,MS GRACE,South Korea,Tanker,NAGOYA AICHI,JAPAN,08/12/2025,NAGOYA AICHI,JAPAN,,NAGOYA AICHI,JAPAN,
9412971,CD CHERRY,Panama,Cargo,NIIHAMA,JAPAN,08/11/2025,KEELUNG (CHILUNG),TAIWAN PROVINCE OF CHINA,,NIIHAMA,JAPAN,
9425617,NEW GLOBAL,South Korea,Tanker,NAGOYA AICHI,JAPAN,08/13/2025,DALIAN ZHOUSHUIZI INTERNATIONAL APT,CHINA,,NAGOYA AICHI,JAPAN,
9425629,NEW HARMONY,South Korea,Tanker,YOKKAICHI,JAPAN,08/13/2025,YOKKAICHI,JAPAN,,YOKKAICHI,JAPAN,
9427550,SPRING SKY,Marshall Islands,Cargo,HAKATA/FUKUOKA,JAPAN,08/17/2025,NANJING PT,CHINA,,HAKATA/FUKUOKA,JAPAN,
9427562,SPRING WIND,Marshall Islands,Cargo,HAKATA/FUKUOKA,JAPAN,08/22/2025,HAKATA,JAPAN,,HAKATA/FUKUOKA,JAPAN,
9450959,SS LUNA,South Korea,Cargo,HIROSHIMA,JAPAN,08/06/2025,,,,HIROSHIMA,JAPAN,
9487421,PAN RAPIDO,Panama,Cargo,KISARAZU,JAPAN,08/10/2025,KIMITSU,JAPAN,,KISARAZU,JAPAN,
9496094,SEONGHO PIOCE,South Korea,Tanker,NAGOYA AICHI,JAPAN,08/11/2025,NAGOYA AICHI,JAPAN,,NAGOYA AICHI,JAPAN,
9502520,KEOYOUNG MASTER,South Korea,Tanker,KOBE,JAPAN,08/13/2025,KOBE,JAPAN,,KOBE,JAPAN,
9524217,ZENITH BUSAN,South Korea,Cargo,SAKAISENBOKU,JAPAN,08/09/2025,,,,SAKAISENBOKU,JAPAN,
9524229,PRINCESS,South Korea,Cargo,FUKUYAMA HIROSHIMA,JAPAN,08/08/2025,FUKUYAMA HIROSHIMA,JAPAN,,FUKUYAMA HIROSHIMA,JAPAN,
9537599,TONG YUN,Panama,Cargo,KUSHIRO,JAPAN,08/15/2025,,,,KUSHIRO,JAPAN,
9538256,WOOYANG GLORY,South Korea,Cargo,FUNABASHI,JAPAN,07/29/2025,FUNABASHI,JAPAN,,FUNABASHI,JAPAN,
9538490,FU RUI,Panama,Not Available,TOMAKOMAI,JAPAN,08/11/2025,YEOSU,KOREA REPUBLIC OF,,TOMAKOMAI,JAPAN,
9540170,GOLDEN KEY HANA,South Korea,Tanker,MIZUSHIMA,JAPAN,08/13/2025,MIZUSHIMA,JAPAN,,MIZUSHIMA,JAPAN,
