IMO No,Class No,Ship Name,MoU,Ship Risk Profile,Inspection Selection Scheme,Last Periodical Survey,Update Date
1062366,2400095,ZENITH ACE,USCG,PSC B,Priority I,2025-06-26,2025-09-15
1062366,2400095,ZENITH ACE,Paris,Standard,Priority I,2025-06-26,2025-09-15
1062366,2400095,ZENITH ACE,Tokyo,Standard,No Priority,2025-06-26,2025-09-15
7420089,8200001,VIET DRAGON 68,USCG,PSC B,Priority I,2025-08-02,2025-09-15
7420089,8200001,VIET DRAGON 68,Paris,Standard,Priority I,2025-08-02,2025-09-15
7420089,8200001,VIET DRAGON 68,Tokyo,High,Priority I,2025-08-02,2025-09-15
8204121,8244083,SANWA FONTAINE,USCG,PSC B,Priority I,2025-08-01,2025-09-15
8204121,8244083,SANWA FONTAINE,Paris,Standard,Priority I,2025-08-01,2025-09-15
8204121,8244083,SANWA FONTAINE,Tokyo,Standard,No Priority,2025-08-01,2025-09-15
8513871,8650534,SUN FLOWER 7,USCG,PSC B,Priority I,2025-05-23,2025-09-15
8513871,8650534,SUN FLOWER 7,Paris,Standard,Priority I,2025-05-23,2025-09-15
8513871,8650534,SUN FLOWER 7,Tokyo,Low,No Priority,2025-05-23,2025-09-15
8603121,8650545,SALTLAKE,USCG,PSC B,Priority I,2025-05-15,2025-09-15
8603121,8650545,SALTLAKE,Paris,Standard,Priority I,2025-05-15,2025-09-15
8603121,8650545,SALTLAKE,Tokyo,Standard,No Priority,2025-05-15,2025-09-15
8807430,8800001,SEIN QUEEN,USCG,PSC B,Priority I,2025-05-07,2025-09-15
8807430,8800001,SEIN QUEEN,Paris,Standard,Priority I,2025-05-07,2025-09-15
8807430,8800001,SEIN QUEEN,Tokyo,Standard,No Priority,2025-05-07,2025-09-15
8808161,8859726,SEI SHIN,USCG,PSC B,Priority I,2025-09-12,2025-09-15
8808161,8859726,SEI SHIN,Paris,Standard,Priority I,2025-09-12,2025-09-15
8808161,8859726,SEI SHIN,Tokyo,Standard,Priority I,2025-09-12,2025-09-15
8813087,9000011,CLAUDIA GAS,USCG,PSC B,Priority I,2025-07-04,2025-09-15
8813087,9000011,CLAUDIA GAS,Paris,Standard,Priority I,2025-07-04,2025-09-15
8813087,9000011,CLAUDIA GAS,Tokyo,Standard,Priority I,2025-07-04,2025-09-15
8813099,9100007,EUGENIA GAS,USCG,PSC B,Priority I,2025-04-07,2025-09-15
8813099,9100007,EUGENIA GAS,Paris,Standard,Priority I,2025-04-07,2025-09-15
8813099,9100007,EUGENIA GAS,Tokyo,Standard,Priority I,2025-04-07,2025-09-15
8813116,9100010,EFTYXIA GAS,USCG,PSC B,Priority I,2025-04-08,2025-09-15
8813116,9100010,EFTYXIA GAS,Paris,Standard,Priority I,2025-04-08,2025-09-15
8813116,9100010,EFTYXIA GAS,Tokyo,Standard,Priority I,2025-04-08,2025-09-15
8813623,8900001,SEIN SKY,USCG,PSC B,Priority I,2025-05-07,2025-09-15
8813623,8900001,SEIN SKY,Paris,Standard,Priority I,2025-05-07,2025-09-15
8813623,8900001,SEIN SKY,Tokyo,Standard,Priority II,2025-05-07,2025-09-15
8875968,9443158,105 HYODONG CHEMI,USCG,PSC B,Priority I,2022-03-15,2025-09-15
8875968,9443158,105 HYODONG CHEMI,Paris,Standard,Priority I,2022-03-15,2025-09-15
8875968,9443158,105 HYODONG CHEMI,Tokyo,Standard,Priority I,2022-03-15,2025-09-15
8904941,8900010,DHARA,USCG,PSC B,No Priority,2025-09-01,2025-09-15
8904941,8900010,DHARA,Paris,Standard,Priority I,2025-09-01,2025-09-15
8904941,8900010,DHARA,Tokyo,Standard,Priority II,2025-09-01,2025-09-15
8906808,9000010,SEIN VENUS,USCG,PSC B,Priority I,2025-07-31,2025-09-15
8906808,9000010,SEIN VENUS,Paris,Standard,Priority I,2025-07-31,2025-09-15
8906808,9000010,SEIN VENUS,Tokyo,Standard,Priority II,2025-07-31,2025-09-15
8911607,8943993,MONONOK,USCG,PSC B,Priority I,2025-07-26,2025-09-15
8911607,8943993,MONONOK,Paris,Standard,Priority I,2025-07-26,2025-09-15
8911607,8943993,MONONOK,Tokyo,Standard,Priority II,2025-07-26,2025-09-15
8911619,9037518,NO.1 BARON,USCG,PSC B,No Priority,2025-03-18,2025-09-15
8911619,9037518,NO.1 BARON,Paris,Standard,Priority I,2025-03-18,2025-09-15
8911619,9037518,NO.1 BARON,Tokyo,Standard,No Priority,2025-03-18,2025-09-15
8934051,9758306,JIAHONG,USCG,PSC B,Priority I,2025-02-21,2025-09-15
8934051,9758306,JIAHONG,Paris,Standard,Priority I,2025-02-21,2025-09-15
8934051,9758306,JIAHONG,Tokyo,High,No Priority,2025-02-21,2025-09-15
8944111,9800017,ASAKA,USCG,PSC B,Priority I,2024-11-07,2025-09-15
8944111,9800017,ASAKA,Paris,Standard,Priority I,2024-11-07,2025-09-15
8944111,9800017,ASAKA,Tokyo,High,Priority II,2024-11-07,2025-09-15
9004401,9100012,LAKE PEARL,USCG,PSC B,Priority I,2025-05-26,2025-09-15
9004401,9100012,LAKE PEARL,Paris,Standard,Priority I,2025-05-26,2025-09-15
9004401,9100012,LAKE PEARL,Tokyo,Standard,No Priority,2025-05-26,2025-09-15
9004657,9000008,LAKE CASTLE,USCG,PSC B,Priority I,2025-06-25,2025-09-15
9004657,9000008,LAKE CASTLE,Paris,Standard,Priority I,2025-06-25,2025-09-15
9004657,9000008,LAKE CASTLE,Tokyo,Standard,No Priority,2025-06-25,2025-09-15
9009669,9200002,LAKE NOVA,USCG,PSC B,Priority I,2025-07-02,2025-09-15
9009669,9200002,LAKE NOVA,Paris,Standard,Priority I,2025-07-02,2025-09-15
9009669,9200002,LAKE NOVA,Tokyo,Standard,No Priority,2025-07-02,2025-09-15
9011583,9140574,ONNURI,USCG,PSC B,Priority I,2025-04-17,2025-09-15
9011583,9140574,ONNURI,Paris,Standard,Priority I,2025-04-17,2025-09-15
9011583,9140574,ONNURI,Tokyo,Standard,Priority I,2025-04-17,2025-09-15
9015840,9156107,CHERRY STAR,USCG,PSC B,Priority I,2025-09-03,2025-09-15
9015840,9156107,CHERRY STAR,Paris,Standard,Priority I,2025-09-03,2025-09-15
9015840,9156107,CHERRY STAR,Tokyo,Standard,Priority II,2025-09-03,2025-09-15
9016090,9161259,AZZA H,USCG,PSC B,Priority I,2024-11-12,2025-09-15
9016090,9161259,AZZA H,Paris,Standard,No Priority,2024-11-12,2025-09-15
9016090,9161259,AZZA H,Tokyo,Standard,Priority I,2024-11-12,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,USCG,PSC B,Priority I,2025-07-11,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,Paris,Standard,Priority I,2025-07-11,2025-09-15
9018555,9443293,HYUNDAI UTOPIA,Tokyo,Standard,Priority I,2025-07-11,2025-09-15
9020780,9170192,LAKE WIN,USCG,PSC B,Priority I,2025-09-05,2025-09-15
9020780,9170192,LAKE WIN,Paris,Standard,Priority I,2025-09-05,2025-09-15
9020780,9170192,LAKE WIN,Tokyo,Standard,Priority I,2025-09-05,2025-09-15
9033842,9240687,BR FAIRY,USCG,PSC B,Priority I,2025-01-22,2025-09-15
9033842,9240687,BR FAIRY,Paris,Standard,Priority I,2025-01-22,2025-09-15
9033842,9240687,BR FAIRY,Tokyo,High,No Priority,2025-01-22,2025-09-15
9033854,9240696,NORTHSTAR GLORY,USCG,PSC B,Priority I,2025-09-06,2025-09-15
9033854,9240696,NORTHSTAR GLORY,Paris,Standard,No Priority,2025-09-06,2025-09-15
9033854,9240696,NORTHSTAR GLORY,Tokyo,Standard,Priority I,2025-09-06,2025-09-15
9038476,9270874,GARDA,USCG,PSC B,Priority I,2024-09-05,2025-09-15
9038476,9270874,GARDA,Paris,Standard,Priority I,2024-09-05,2025-09-15
9038476,9270874,GARDA,Tokyo,High,Priority I,2024-09-05,2025-09-15
9044633,9160796,R OCEAN,USCG,PSC B,Priority I,2025-08-08,2025-09-15
9044633,9160796,R OCEAN,Paris,Standard,Priority I,2025-08-08,2025-09-15
9044633,9160796,R OCEAN,Tokyo,High,Priority I,2025-08-08,2025-09-15
9046667,9266193,YARA,USCG,PSC B,Priority I,2025-06-13,2025-09-15
9046667,9266193,YARA,Paris,Standard,No Priority,2025-06-13,2025-09-15
9046667,9266193,YARA,Tokyo,High,Priority I,2025-06-13,2025-09-15
9051789,9300007,SEIN FRONTIER,USCG,PSC B,Priority I,2025-08-27,2025-09-15
9051789,9300007,SEIN FRONTIER,Paris,Standard,Priority I,2025-08-27,2025-09-15
9051789,9300007,SEIN FRONTIER,Tokyo,Standard,No Priority,2025-08-27,2025-09-15
9066710,9367241,EASTERN DREAM,USCG,PSC B,Priority I,2025-07-28,2025-09-15
9066710,9367241,EASTERN DREAM,Paris,Standard,Priority I,2025-07-28,2025-09-15
9066710,9367241,EASTERN DREAM,Tokyo,High,No Priority,2025-07-28,2025-09-15
9070462,9400011,K.ASIAN BEAUTY,USCG,PSC A,Priority I,2025-07-15,2025-09-15
9070462,9400011,K.ASIAN BEAUTY,Paris,Standard,No Priority,2025-07-15,2025-09-15
9070462,9400011,K.ASIAN BEAUTY,Tokyo,Standard,No Priority,2025-07-15,2025-09-15
9085156,9443218,SINAR LABUAN,USCG,PSC B,Priority I,2025-08-08,2025-09-15
9085156,9443218,SINAR LABUAN,Paris,Standard,Priority I,2025-08-08,2025-09-15
9085156,9443218,SINAR LABUAN,Tokyo,High,Priority I,2025-08-08,2025-09-15
9087910,9400004,PHAROSTAR,USCG,PSC B,Priority I,2025-05-06,2025-09-15
9087910,9400004,PHAROSTAR,Paris,Standard,Priority I,2025-05-06,2025-09-15
9087910,9400004,PHAROSTAR,Tokyo,Standard,No Priority,2025-05-06,2025-09-15
9102849,9545075,SUNNY OAK,USCG,PSC B,Priority I,2025-08-12,2025-09-15
9102849,9545075,SUNNY OAK,Paris,Standard,Priority I,2025-08-12,2025-09-15
9102849,9545075,SUNNY OAK,Tokyo,Standard,No Priority,2025-08-12,2025-09-15
9103623,9465189,JANGHO WIN,USCG,PSC B,Priority I,2025-08-13,2025-09-15
9103623,9465189,JANGHO WIN,Paris,Standard,Priority I,2025-08-13,2025-09-15
9103623,9465189,JANGHO WIN,Tokyo,High,No Priority,2025-08-13,2025-09-15
9104110,9500002,PETER S,USCG,PSC B,Priority I,2025-05-01,2025-09-15
9104110,9500002,PETER S,Paris,Standard,Priority I,2025-05-01,2025-09-15
9104110,9500002,PETER S,Tokyo,High,Priority I,2025-05-01,2025-09-15
9105360,9573287,KATAH,USCG,PSC B,Priority I,2025-05-26,2025-09-15
9105360,9573287,KATAH,Paris,Standard,Priority I,2025-05-26,2025-09-15
9105360,9573287,KATAH,Tokyo,Standard,No Priority,2025-05-26,2025-09-15
9109263,9467253,BAO WIN,USCG,PSC B,Priority I,2025-06-13,2025-09-15
9109263,9467253,BAO WIN,Paris,Standard,Priority I,2025-06-13,2025-09-15
9109263,9467253,BAO WIN,Tokyo,Standard,Priority I,2025-06-13,2025-09-15
9110315,9544254,SANN TRO,USCG,PSC B,Priority I,2025-05-18,2025-09-15
9110315,9544254,SANN TRO,Paris,Standard,No Priority,2025-05-18,2025-09-15
9110315,9544254,SANN TRO,Tokyo,Standard,Priority I,2025-05-18,2025-09-15
9110810,9500014,XIN YU JIN XIANG,USCG,PSC B,Priority I,2024-12-21,2025-09-15
9110810,9500014,XIN YU JIN XIANG,Paris,Standard,Priority I,2024-12-21,2025-09-15
9110810,9500014,XIN YU JIN XIANG,Tokyo,High,No Priority,2024-12-21,2025-09-15
9110822,9600015,ARAFURA LILY,USCG,PSC B,Priority I,2025-02-05,2025-09-15
9110822,9600015,ARAFURA LILY,Paris,Standard,Priority I,2025-02-05,2025-09-15
9110822,9600015,ARAFURA LILY,Tokyo,High,Priority II,2025-02-05,2025-09-15
9112246,9569818,ORIENTAL PEARL VI,USCG,PSC B,Priority I,2025-07-19,2025-09-15
9112246,9569818,ORIENTAL PEARL VI,Paris,Standard,Priority I,2025-07-19,2025-09-15
9112246,9569818,ORIENTAL PEARL VI,Tokyo,High,No Priority,2025-07-19,2025-09-15
9113941,9500018,ASIA GAS,USCG,PSC B,Priority I,2025-03-11,2025-09-15
9113941,9500018,ASIA GAS,Paris,Standard,Priority I,2025-03-11,2025-09-15
9113941,9500018,ASIA GAS,Tokyo,Standard,No Priority,2025-03-11,2025-09-15
9117820,9545365,HARBOUR RUBY,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9117820,9545365,HARBOUR RUBY,Paris,Standard,Priority I,2025-08-18,2025-09-15
9117820,9545365,HARBOUR RUBY,Tokyo,High,Priority I,2025-08-18,2025-09-15
9117868,9700025,ZJ RAINBOW,USCG,PSC B,Priority I,2024-10-03,2025-09-15
9117868,9700025,ZJ RAINBOW,Paris,High,Priority I,2024-10-03,2025-09-15
9117868,9700025,ZJ RAINBOW,Tokyo,High,Priority I,2024-10-03,2025-09-15
9119153,9500011,STEP FORWARD,USCG,PSC B,Priority I,2025-05-22,2025-09-15
9119153,9500011,STEP FORWARD,Paris,Standard,Priority I,2025-05-22,2025-09-15
9119153,9500011,STEP FORWARD,Tokyo,Standard,Priority II,2025-05-22,2025-09-15
9121027,9645817,CHANG YAHNG,USCG,PSC B,Priority I,2025-01-24,2025-09-15
9121027,9645817,CHANG YAHNG,Paris,Standard,Priority I,2025-01-24,2025-09-15
9121027,9645817,CHANG YAHNG,Tokyo,Standard,Priority I,2025-01-24,2025-09-15
9121041,9645925,SUNNY SPRUCE,USCG,PSC B,Priority I,2025-08-06,2025-09-15
9121041,9645925,SUNNY SPRUCE,Paris,Standard,Priority I,2025-08-06,2025-09-15
9121041,9645925,SUNNY SPRUCE,Tokyo,Standard,No Priority,2025-08-06,2025-09-15
9122863,9700030,HE DA,USCG,PSC B,Priority I,2025-08-24,2025-09-15
9122863,9700030,HE DA,Paris,Standard,Priority I,2025-08-24,2025-09-15
9122863,9700030,HE DA,Tokyo,Standard,No Priority,2025-08-24,2025-09-15
9122930,9645757,GLOVIS CORONA,USCG,PSC B,No Priority,2025-09-11,2025-09-15
9122930,9645757,GLOVIS CORONA,Paris,Standard,Priority II,2025-09-11,2025-09-15
9122930,9645757,GLOVIS CORONA,Tokyo,Standard,Priority I,2025-09-11,2025-09-15
9122942,9646751,GLOVIS COMET,USCG,PSC A,Priority I,2025-09-05,2025-09-15
9122942,9646751,GLOVIS COMET,Paris,Standard,Priority I,2025-09-05,2025-09-15
9122942,9646751,GLOVIS COMET,Tokyo,Standard,Priority I,2025-09-05,2025-09-15
9122966,9700011,ASIAN VISION,USCG,PSC A,Priority I,2025-08-29,2025-09-15
9122966,9700011,ASIAN VISION,Paris,Standard,Priority I,2025-08-29,2025-09-15
9122966,9700011,ASIAN VISION,Tokyo,Low,Priority II,2025-08-29,2025-09-15
9124108,9575577,FIRST AI,USCG,PSC B,Priority I,2025-04-07,2025-09-15
9124108,9575577,FIRST AI,Paris,Standard,Priority I,2025-04-07,2025-09-15
9124108,9575577,FIRST AI,Tokyo,High,Priority II,2025-04-07,2025-09-15
9124873,9600028,XIANG SHUN,USCG,PSC B,Priority I,2025-07-13,2025-09-15
9124873,9600028,XIANG SHUN,Paris,Standard,No Priority,2025-07-13,2025-09-15
9124873,9600028,XIANG SHUN,Tokyo,High,Priority I,2025-07-13,2025-09-15
9126261,9600033,JOCHOH,USCG,PSC B,Priority I,2025-05-11,2025-09-15
9126261,9600033,JOCHOH,Paris,Standard,Priority I,2025-05-11,2025-09-15
9126261,9600033,JOCHOH,Tokyo,Standard,Priority II,2025-05-11,2025-09-15
9126857,9545462,HAEYANG 2000,USCG,PSC B,Priority I,2025-04-01,2025-09-15
9126857,9545462,HAEYANG 2000,Paris,Standard,Priority I,2025-04-01,2025-09-15
9126857,9545462,HAEYANG 2000,Tokyo,Standard,Priority I,2025-04-01,2025-09-15
9128300,9646406,SUNNY PALM,USCG,PSC B,Priority I,2025-09-10,2025-09-15
9128300,9646406,SUNNY PALM,Paris,Standard,Priority I,2025-09-10,2025-09-15
9128300,9646406,SUNNY PALM,Tokyo,Standard,No Priority,2025-09-10,2025-09-15
9128881,9571382,GAS KAHAYAN,USCG,PSC B,Priority I,2025-06-05,2025-09-15
9128881,9571382,GAS KAHAYAN,Paris,Standard,Priority I,2025-06-05,2025-09-15
9128881,9571382,GAS KAHAYAN,Tokyo,Standard,Priority I,2025-06-05,2025-09-15
9130121,9800030,SZCZECIN TRADER,USCG,PSC B,Priority I,2025-02-25,2025-09-15
9130121,9800030,SZCZECIN TRADER,Paris,Standard,Priority I,2025-02-25,2025-09-15
9130121,9800030,SZCZECIN TRADER,Tokyo,Standard,Priority I,2025-02-25,2025-09-15
9131852,9747251,KMTC PUSAN,USCG,PSC B,Priority I,2025-05-22,2025-09-15
9131852,9747251,KMTC PUSAN,Paris,Standard,Priority I,2025-05-22,2025-09-15
9131852,9747251,KMTC PUSAN,Tokyo,Standard,No Priority,2025-05-22,2025-09-15
9131864,9747272,KMTC ULSAN,USCG,PSC B,Priority I,2025-07-11,2025-09-15
9131864,9747272,KMTC ULSAN,Paris,Standard,Priority I,2025-07-11,2025-09-15
9131864,9747272,KMTC ULSAN,Tokyo,High,No Priority,2025-07-11,2025-09-15
9134971,9500027,SCHUMI 5,USCG,PSC B,Priority I,2025-08-29,2025-09-15
9134971,9500027,SCHUMI 5,Paris,Standard,Priority I,2025-08-29,2025-09-15
9134971,9500027,SCHUMI 5,Tokyo,Standard,Priority I,2025-08-29,2025-09-15
9135250,9600017,BIRYONG,USCG,PSC B,Priority I,2025-09-15,2025-09-15
9135250,9600017,BIRYONG,Paris,Standard,Priority I,2025-09-15,2025-09-15
9135250,9600017,BIRYONG,Tokyo,High,Priority I,2025-09-15,2025-09-15
9135561,9600040,SENNA 7,USCG,PSC B,Priority I,2025-05-09,2025-09-15
9135561,9600040,SENNA 7,Paris,Standard,Priority I,2025-05-09,2025-09-15
9135561,9600040,SENNA 7,Tokyo,Standard,No Priority,2025-05-09,2025-09-15
9135573,9664281,MERCURY,USCG,PSC B,Priority I,2025-09-16,2025-09-15
9135573,9664281,MERCURY,Paris,Standard,Priority I,2025-09-16,2025-09-15
9135573,9664281,MERCURY,Tokyo,Standard,No Priority,2025-09-16,2025-09-15
9136058,9700034,FOREVER,USCG,PSC B,Priority I,2024-12-26,2025-09-15
9136058,9700034,FOREVER,Paris,Standard,Priority I,2024-12-26,2025-09-15
9136058,9700034,FOREVER,Tokyo,High,Priority I,2024-12-26,2025-09-15
9136228,9600038,BAL BOAN,USCG,PSC B,Priority I,2025-09-11,2025-09-15
9136228,9600038,BAL BOAN,Paris,Standard,Priority I,2025-09-11,2025-09-15
9136228,9600038,BAL BOAN,Tokyo,High,No Priority,2025-09-11,2025-09-15
9136606,9600030,OCEAN KARIS,USCG,PSC B,Priority I,2024-10-22,2025-09-15
9136606,9600030,OCEAN KARIS,Paris,Standard,Priority I,2024-10-22,2025-09-15
9136606,9600030,OCEAN KARIS,Tokyo,High,No Priority,2024-10-22,2025-09-15
9136759,9600042,VENUS GAS,USCG,PSC B,Priority I,2025-08-14,2025-09-15
9136759,9600042,VENUS GAS,Paris,Standard,Priority I,2025-08-14,2025-09-15
9136759,9600042,VENUS GAS,Tokyo,Standard,No Priority,2025-08-14,2025-09-15
9139646,9800027,KRETA S,USCG,PSC B,Priority I,2024-11-22,2025-09-15
9139646,9800027,KRETA S,Paris,Standard,Priority I,2024-11-22,2025-09-15
9139646,9800027,KRETA S,Tokyo,High,Priority I,2024-11-22,2025-09-15
9139696,9754573,JAG VIJAYA,USCG,PSC B,Priority I,2025-07-15,2025-09-15
9139696,9754573,JAG VIJAYA,Paris,Standard,Priority I,2025-07-15,2025-09-15
9139696,9754573,JAG VIJAYA,Tokyo,Standard,Priority I,2025-07-15,2025-09-15
9139945,9600011,GAS YODLA,USCG,PSC B,Priority I,2025-09-04,2025-09-15
9139945,9600011,GAS YODLA,Paris,High,Priority I,2025-09-04,2025-09-15
9139945,9600011,GAS YODLA,Tokyo,Standard,Priority I,2025-09-04,2025-09-15
9140607,9600034,SCHUMI 7,USCG,PSC B,Priority I,2025-09-15,2025-09-15
9140607,9600034,SCHUMI 7,Paris,Standard,Priority I,2025-09-15,2025-09-15
9140607,9600034,SCHUMI 7,Tokyo,Standard,Priority I,2025-09-15,2025-09-15
9141962,9672379,GAS INDONESIA II,USCG,PSC B,Priority I,2025-08-12,2025-09-15
9141962,9672379,GAS INDONESIA II,Paris,Standard,Priority I,2025-08-12,2025-09-15
9141962,9672379,GAS INDONESIA II,Tokyo,Standard,Priority I,2025-08-12,2025-09-15
9142136,9600041,OCEANUS 9,USCG,PSC B,Priority I,2025-09-04,2025-09-15
9142136,9600041,OCEANUS 9,Paris,High,Priority I,2025-09-04,2025-09-15
9142136,9600041,OCEANUS 9,Tokyo,Standard,No Priority,2025-09-04,2025-09-15
9143398,9800025,AST MALTA,USCG,PSC B,Priority I,2025-08-18,2025-09-15
9143398,9800025,AST MALTA,Paris,Standard,No Priority,2025-08-18,2025-09-15
9143398,9800025,AST MALTA,Tokyo,Standard,Priority I,2025-08-18,2025-09-15
9145047,9756253,NEW GOLDEN BRIDGE  V,USCG,PSC B,Priority I,2025-07-31,2025-09-15
9145047,9756253,NEW GOLDEN BRIDGE  V,Paris,Standard,Priority I,2025-07-31,2025-09-15
9145047,9756253,NEW GOLDEN BRIDGE  V,Tokyo,High,Priority II,2025-07-31,2025-09-15
9146297,9748335,HEUNG-A JAKARTA,USCG,PSC B,Priority I,2025-08-27,2025-09-15
9146297,9748335,HEUNG-A JAKARTA,Paris,Standard,Priority I,2025-08-27,2025-09-15
9146297,9748335,HEUNG-A JAKARTA,Tokyo,High,Priority I,2025-08-27,2025-09-15
9146869,9665918,DOLPHIN 21,USCG,PSC B,Priority I,2025-03-31,2025-09-15
9146869,9665918,DOLPHIN 21,Paris,Standard,Priority I,2025-03-31,2025-09-15
9146869,9665918,DOLPHIN 21,Tokyo,Standard,Priority I,2025-03-31,2025-09-15
9149720,9758513,SHENG LE A,USCG,PSC B,Priority I,2024-10-02,2025-09-15
9149720,9758513,SHENG LE A,Paris,Standard,Priority I,2024-10-02,2025-09-15
9149720,9758513,SHENG LE A,Tokyo,High,Priority I,2024-10-02,2025-09-15
9149823,9747958,VLADIVOSTOK,USCG,PSC B,Priority I,2025-09-09,2025-09-15
9149823,9747958,VLADIVOSTOK,Paris,Standard,Priority I,2025-09-09,2025-09-15
9149823,9747958,VLADIVOSTOK,Tokyo,High,No Priority,2025-09-09,2025-09-15
9149847,9748213,FUTURE,USCG,PSC B,Priority I,2025-09-12,2025-09-15
9149847,9748213,FUTURE,Paris,Standard,Priority I,2025-09-12,2025-09-15
9149847,9748213,FUTURE,Tokyo,High,Priority I,2025-09-12,2025-09-15
9149859,9748236,ADVANCE,USCG,PSC B,Priority I,2025-09-12,2025-09-15
9149859,9748236,ADVANCE,Paris,Standard,Priority I,2025-09-12,2025-09-15
9149859,9748236,ADVANCE,Tokyo,High,Priority I,2025-09-12,2025-09-15
9149861,9748432,SPRINTER,USCG,PSC B,Priority I,2025-09-15,2025-09-15
9149861,9748432,SPRINTER,Paris,Standard,Priority I,2025-09-15,2025-09-15
9149861,9748432,SPRINTER,Tokyo,High,Priority I,2025-09-15,2025-09-15
9152363,9675497,GRAND MUSE,USCG,PSC B,Priority I,2025-07-03,2025-09-15
9152363,9675497,GRAND MUSE,Paris,Standard,Priority I,2025-07-03,2025-09-15
9152363,9675497,GRAND MUSE,Tokyo,High,No Priority,2025-07-03,2025-09-15
9152911,9800028,X-PRESS BRAHMAPUTRA,USCG,PSC B,Priority I,2025-09-16,2025-09-15
9152911,9800028,X-PRESS BRAHMAPUTRA,Paris,Standard,No Priority,2025-09-16,2025-09-15
9152911,9800028,X-PRESS BRAHMAPUTRA,Tokyo,Standard,Priority I,2025-09-16,2025-09-15
9155078,9950315,HL MUSCAT,USCG,PSC B,Priority I,2025-07-23,2025-09-15
9155078,9950315,HL MUSCAT,Paris,Standard,Priority I,2025-07-23,2025-09-15
9155078,9950315,HL MUSCAT,Tokyo,Standard,Priority I,2025-07-23,2025-09-15
9156280,9747601,KEUN YANG,USCG,PSC B,Priority I,2025-01-20,2025-09-15
9156280,9747601,KEUN YANG,Paris,Standard,Priority I,2025-01-20,2025-09-15
9156280,9747601,KEUN YANG,Tokyo,Standard,Priority I,2025-01-20,2025-09-15
9156797,9754378,ANNIE GAS 09,USCG,PSC B,Priority I,2025-09-12,2025-09-15
9156797,9754378,ANNIE GAS 09,Paris,High,Priority I,2025-09-12,2025-09-15
9156797,9754378,ANNIE GAS 09,Tokyo,High,No Priority,2025-09-12,2025-09-15
9157636,51217,K. ACACIA,USCG,PSC B,Priority I,2025-08-13,2025-09-15
9157636,51217,K. ACACIA,Paris,Standard,Priority I,2025-08-13,2025-09-15
9157636,51217,K. ACACIA,Tokyo,High,Priority I,2025-08-13,2025-09-15
9157741,9848791,KMTC KEELUNG,USCG,PSC B,Priority I,2025-09-08,2025-09-15
9157741,9848791,KMTC KEELUNG,Paris,Standard,Priority I,2025-09-08,2025-09-15
9157741,9848791,KMTC KEELUNG,Tokyo,High,No Priority,2025-09-08,2025-09-15
9158563,9848667,PROGRESS C,USCG,PSC B,Priority I,2025-06-04,2025-09-15
9158563,9848667,PROGRESS C,Paris,Standard,Priority I,2025-06-04,2025-09-15
9158563,9848667,PROGRESS C,Tokyo,High,No Priority,2025-06-04,2025-09-15
9158575,9848789,HIGHWAY,USCG,PSC B,Priority I,2025-09-01,2025-09-15
9158575,9848789,HIGHWAY,Paris,Standard,Priority I,2025-09-01,2025-09-15
9158575,9848789,HIGHWAY,Tokyo,High,No Priority,2025-09-01,2025-09-15
9158587,9848808,BRIDGE,USCG,PSC B,Priority I,2025-06-30,2025-09-15
9158587,9848808,BRIDGE,Paris,Standard,Priority I,2025-06-30,2025-09-15
9158587,9848808,BRIDGE,Tokyo,High,Priority II,2025-06-30,2025-09-15
9158604,9748324,GLOVIS CHORUS,USCG,PSC A,Priority I,2025-04-04,2025-09-15
9158604,9748324,GLOVIS CHORUS,Paris,Standard,No Priority,2025-04-04,2025-09-15
9158604,9748324,GLOVIS CHORUS,Tokyo,Standard,No Priority,2025-04-04,2025-09-15
9158616,9849003,ASIAN CAPTAIN,USCG,PSC B,No Priority,2025-08-14,2025-09-15
9158616,9849003,ASIAN CAPTAIN,Paris,Standard,No Priority,2025-08-14,2025-09-15
9158616,9849003,ASIAN CAPTAIN,Tokyo,Low,No Priority,2025-08-14,2025-09-15
9158862,9748077,SWAN LAKE,USCG,PSC B,Priority I,2025-02-17,2025-09-15
9158862,9748077,SWAN LAKE,Paris,Standard,Priority I,2025-02-17,2025-09-15
9158862,9748077,SWAN LAKE,Tokyo,High,No Priority,2025-02-17,2025-09-15
9159335,9775742,HANSUNG INCHEON,USCG,PSC B,Priority I,2025-03-08,2025-09-15
9159335,9775742,HANSUNG INCHEON,Paris,Standard,Priority I,2025-03-08,2025-09-15
9159335,9775742,HANSUNG INCHEON,Tokyo,Standard,Priority II,2025-03-08,2025-09-15
9161467,9764738,DE YUAN,USCG,PSC B,Priority I,2025-09-09,2025-09-15
9161467,9764738,DE YUAN,Paris,Standard,Priority I,2025-09-09,2025-09-15
9161467,9764738,DE YUAN,Tokyo,Standard,Priority II,2025-09-09,2025-09-15
9161481,9700017,KIANA,USCG,PSC B,Priority I,2025-08-11,2025-09-15
9161481,9700017,KIANA,Paris,High,Priority I,2025-08-11,2025-09-15
9161481,9700017,KIANA,Tokyo,High,Priority I,2025-08-11,2025-09-15
9161687,9700010,KC HADONG,USCG,PSC B,Priority I,2025-08-22,2025-09-15
9161687,9700010,KC HADONG,Paris,Standard,Priority I,2025-08-22,2025-09-15
